Company,Year Founded,Total Raised,HQ Country,Last Financing Date,Last Financing Deal Type,Last Financing Size,Revenue
Unlikely Al,2018,0.7,United Kingdom,30-0ct-2020,Early Stage VC,0.7,
Unmanned Life,2015,3.77,United Kingdom,19-May-2020,Accelerator/Incubator,,
Upside (Financial Software),2020,0.99,United Kingdom,,Seed Round,,
Urbanic,2018,12.71,United Kingdom,30-Mar-2020,Early Stage VC,8.09,
V7,2018,2.42,United Kingdom,18-NOV-2020,Seed Round,2.42,
Vendi (Application Software),2018,0.6,United Kingdom,09-Apr-2020,Seed Round,0.6,
Verv (Application Specific Semicon...,2010,9.38,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.27,
Vochlea,2017,0.44,United Kingdom,13-May-2020,Early Stage VC,0.19,
Voltaware,2014,3.3,United Kingdom,01-Jul-2020,Early Stage VC,,
VRAI (Multimedia and Design Soft...,2017,2.31,United Kingdom,08-Apr-2021,Grant,1.2,
Vyntelligence,2013,7.05,United Kingdom,,Later Stage VC,,
Waymark Tech,2016,1.21,United Kingdom,08-Feb-2021,Early Stage VC,,
Wayve,2017,33.56,United Kingdom,01-Aug-2020,Early Stage VC,15.3,
We Build Bots,2017,1.75,United Kingdom,04-Aug-2020,Early Stage VC,1.5,
Willo (Communication Software),2018,0.27,United Kingdom,11-Sep-2020,Seed Round,0.25,
Zobi,2018,1.27,United Kingdom,09-Mar-2021,Seed Round,1.08,0.05
Dragonfly Al,2018,2.05,United Kingdom,17-NOV-2020,Seed Round,0.63,
Dream Reality Interactive,2016,0.8,United Kingdom,23-Jun-2020,Equity Crowdfunding,0.14,
DX Compliance,2018,,United Kingdom,02-Mar-2020,Seed Round,1.01,
Eatron Technologies,2017,,United Kingdom,15-Jun-2020,Early Stage VC,,
Firza,2011,0.23,United Kingdom,01-Mar-2020,Later Stage VC,0.23,
FiveAl,2015,60.66,United Kingdom,03-Mar-2020,Early Stage VC,31.67,
Mobilus Labs,2017,2.31,United Kingdom,26-Aug-2020,Seed Round,0.64,
Modulous,2018,1.01,United Kingdom,14-Jan-2021,Early Stage VC,,
Armony,2018,,United Kingdom,01-Jan-2020,Accelerator/Incubator,,
Skoog,2009,3.12,United Kingdom,12-NOV-2020,Later Stage VC,0.47,
Sway Music,2019,0.08,United Kingdom,14-Dec-2020,Early Stage VC,0.08,
Nothing (Electronics),2020,16.24,United Kingdom,09-Feb-2021,Early Stage VC,10.98,15.67
AudioScenic,2017,4.19,United Kingdom,23-Oct-2020,Early Stage VC,1.58,
Wavepaths,2018,0.61,United Kingdom,21-Dec-2020,Equity Crowdfunding,0.4,
Rap Tech,2016,0.67,United Kingdom,01-May-2020,Early Stage VC,,
Trackd,2015,0.67,United Kingdom,22-Jun-2020,Early Stage VC,0.31,
VozLab,2019,0.15,United Kingdom,09-NOV-2020,Early Stage VC,0.15,
SupaPass,2011,2.57,United Kingdom,30-Mar-2020,Later Stage VC,0.4,
Delic,2013,0.6,United Kingdom,21-Jan-2020,Later Stage VC,0.49,
Sofar,2009,37.53,United Kingdom,02-0ct-2020,Later Stage VC,7.36,
Jack Wireless Guitar Cable,2010,0.95,United Kingdom,10-Feb-2020,Later Stage VC,0.22,
Dent Reality,2018,0.65,United Kingdom,25-Sep-2020,Early Stage VC,0.4,
KIT-AR,2018,1,United Kingdom,22-May-2020,Early Stage VC,1,
Masters of Pie,2011,8,United Kingdom,27-Jan-2020,Later Stage VC,3.6,
Reality Zero One,2017,0.52,United Kingdom,01-Jul-2020,Early Stage VC,0.14,
Terra Virtua,2018,3.51,United Kingdom,04-NOV-2020,Early Stage VC,2.5,
PixelMax,2018,2.25,United Kingdom,25-Mar-2021,Early Stage VC,2,
Roto VR,2015,2.59,United Kingdom,20-Mar-2020,Seed Round,1.5,
Bird Sunglasses,2017,0.2,United Kingdom,02-Apr-2020,Early Stage VC,0.2,
Poplar,2018,2.75,United Kingdom,28-May-2020,Seed Round,2.1,
ZeroLight,2014,23.35,United Kingdom,16-Jul-2020,Later Stage VC,19.01,
Teooh,2018,3.58,United Kingdom,25-Jun-2020,Seed Round,1.96,
vTime,2013,12.84,United Kingdom,29-Oct-2020,Later Stage VC,9.02,
Imaged Reality,2016,0.43,United Kingdom,26-May-2021,Early Stage VC,0.43,
VividQ,2015,4.21,United Kingdom,01-Jan-2021,Later Stage VC,,
FitXR,2016,6,United Kingdom,09-Jul-2020,Early Stage VC,5,
Massless,2016,3.3,United Kingdom,01-Aug-2020,Early Stage VC,,
Mesmerise Global,2016,1.56,United Kingdom,14-Aug-2020,Early Stage VC,0.37,
reefLIVE,2018,0.52,United Kingdom,01-May-2020,Early Stage VC,0.52,
XYZ Reality,2017,6.24,United Kingdom,03-Feb-2020,Early Stage VC,4.84,
Angoka,2019,0.5,United Kingdom,03-Mar-2020,Angel,,
Albora Technologies,2017,2.59,United Kingdom,02-0ct-2020,Early Stage VC,0.61,
Helix Technologies,2017,2.58,United Kingdom,21-Apr-2021,Seed Round,0.8,
AIDrivers,2018,0.91,United Kingdom,16-NOV-2020,Corporate,,
Animal Dynamics,2015,13.14,United Kingdom,18-May-2020,Later Stage VC,5.75,
3S Money,2013,5.2,United Kingdom,21-Apr-2021,Later Stage VC,3,
Coupay (Financial Software),2019,0.22,United Kingdom,15-Feb-2021,Seed Round,0.2,
Tide,2015,82.46,United Kingdom,13-NOV-2020,Debt - General,3.81,
Yello (Financial Software),2015,,United Kingdom,01-Oct-2020,Later Stage VC,,
AccessPay,2012,20.95,United Kingdom,01-Jan-2020,Later Stage VC,3,
BondAval,2020,1.2,United Kingdom,30-Dec-2020,Seed Round,1.2,
Modulr (Financial Software),2015,56.42,United Kingdom,13-Apr-2021,Later Stage VC,12.66,
Vieve,2019,0.9,United Kingdom,01-Jan-2020,Early Stage VC,0.9,
Agora (Application Software),2019,5.12,United Kingdom,07-Dec-2020,Seed Round,5.12,
War Paint,2017,1.44,United Kingdom,15-May-2020,Early Stage VC,1.34,
We Are Paradoxx,2017,4.15,United Kingdom,07-Feb-2020,Early Stage VC,3.9,
BYBI,2017,6.41,United Kingdom,09-Dec-2020,Early Stage VC,5.26,
Beauty Pie,2015,48.89,United Kingdom,01-Dec-2020,Later Stage VC,,
Trinny London,2014,154.34,United Kingdom,01-Oct-2020,Later Stage VC,148.51,
Secret Spa,2015,3.01,United Kingdom,19-Apr-2021,Later Stage VC,0.86,
Fresha,2014,24.12,United Kingdom,07-Sep-2020,Later Stage VC,,
Event Store,2011,0.14,United Kingdom,29-Sep-2020,Later Stage VC,0.14,
Graphy,2018,,United Kingdom,01-Aug-2020,Early Stage VC,,
Kluster Intelligence,2016,1.38,United Kingdom,19-Aug-2020,Seed Round,0.76,
Nomio,2019,0.24,United Kingdom,01-Jan-2020,Early Stage VC,0.24,
Neuville Grid Data,2018,4.93,United Kingdom,,Early Stage VC,4.26,
Arweave,2017,6.51,United Kingdom,05-Mar-2020,Early Stage VC,6.42,
GeoDB,2018,3.98,United Kingdom,16-NOV-2020,Equity Crowdfunding,2.47,
Zinc [Business/Productivity Softw...,2017,0.21,United Kingdom,01-Jan-2020,Early Stage VC,,
Panaseer,2014,31.05,United Kingdom,12-May-2021,Later Stage VC,19.07,2.39
Blackford,2010,5.68,United Kingdom,21-Jan-2020,Later Stage VC,1.57,
Ve Global (Media and Information...,2009,3,United Kingdom,01-Nov-2020,Later Stage VC,3,
Credit Kudos,2015,7.78,United Kingdom,09-Apr-2020,Early Stage VC,5,
Intropic,2018,3,United Kingdom,01-Jan-2020,Early Stage VC,,
Galytix,2015,0.51,United Kingdom,29-Jun-2020,Seed Round,0.23,
Causal,2019,4.04,United Kingdom,21-Apr-2021,Seed Round,3.04,0.03
BMLL,2014,15.77,United Kingdom,30-Jun-2020,Early Stage VC,5.47,
Credit Benchmark,2012,26.2,United Kingdom,01-Feb-2020,Later Stage VC,2.22,
Dext,2010,94.11,United Kingdom,22-Apr-2021,Secondary Tr...,270,
Lifebit Biotech,2017,8.49,United Kingdom,30-Apr-2020,Early Stage VC,6,
Huma,2011,154.24,United Kingdom,11-May-2021,Later Stage VC,93.65,
floLIVE,2015,19.81,United Kingdom,04-Feb-2020,Early Stage VC,16.45,
GeoSpock,2013,25.47,United Kingdom,28-Sep-2020,Later Stage VC,4.16,0.78
QuestDB,2019,1.59,United Kingdom,02-Jul-2020,Seed Round,1.47,
The Insights Family,2016,0.6,United Kingdom,15-Jul-2020,Early Stage VC,0.5,
Yumpingo,2015,9.65,United Kingdom,29-Jan-2020,Early Stage VC,8.09,
Wejo,2013,223,United Kingdom,28-May-2021,PIPE,71.22,46.81
Goodlord,2014,26.2,United Kingdom,09-Mar-2020,Later Stage VC,10,
Terrabotics,2013,0.55,United Kingdom,Expected      31-Dec-2021,Later Stage VC,,
Brytlyt,2013,8.61,United Kingdom,01-Jan-2021,Accelerator/Incubator,3.62,
eTEU,2018,0.23,United Kingdom,,Accelerator/Incubator,0.01,
Stotles,2017,1.4,United Kingdom,14-0ct-2020,Early Stage VC,1.4,
Satavia,2013,1.41,United Kingdom,01-Jan-2020,Seed Round,1,
Arkivum,2011,13.21,United Kingdom,17-Jan-2020,Later Stage VC,1.52,
Duco,2010,38.75,United Kingdom,28-Oct-2020,Secondary Tr...,,
Encompass Corporation,2012,6.5,United Kingdom,17-Mar-2021,Later Stage VC,,
InfoSum,2015,21.57,United Kingdom,01-Sep-2020,Early Stage VC,11.49,
ChAI,2017,1.3,United Kingdom,24-Jan-2020,Seed Round,1.3,
Automated Intelligence,2010,3.12,United Kingdom,01-Sep-2020,Later Stage VC,,2.94
Thread (Clothing),2012,14.84,United Kingdom,09-Apr-2020,Later Stage VC,2.74,
PhytoPur Bio,2020,,United Kingdom,01-Jan-2020,Early Stage VC,,
Alphagreen,2019,1.72,United Kingdom,29-Apr-2021,Equity Crowdfunding,2.05,
Prohibition Holdings,2019,3.58,United Kingdom,23-Jan-2020,Early Stage VC,3.58,
Blossom Genetics,2019,0.2,United Kingdom,01-Apr-2020,Early Stage VC,0.2,
Grow Biotech,2017,12.98,United Kingdom,12-NOV-2020,Later Stage VC,6,
Car 8< Away,2016,4.17,United Kingdom,24-NOV-2020,Equity Crowdfunding,1.42,
HiyaCar,2013,11.32,United Kingdom,29-Apr-2021,Later Stage VC,1.75,
EnvoPAP,2015,0.77,United Kingdom,06-May-2020,Equity Crowdfunding,0.34,
G2O Water Technologies,2015,2.03,United Kingdom,16-NOV-2020,Debt Refinan...,14.61,
GETenergy,2018,,United Kingdom,01-Jan-2020,Early Stage VC,,
Gravitricity,2011,1.05,United Kingdom,01-Jun-2020,Equity Crowdfunding,0.78,
Greenback Recycling Technologies,2018,7.9,United Kingdom,17-Dec-2020,Early Stage VC,7.9,
Inhabit,2019,0.26,United Kingdom,01-Oct-2020,Early Stage VC,0.18,0.01
InspiraFarms,2012,6.33,United Kingdom,21-May-2020,Later Stage VC,2.66,
Lambda Energy,2018,1.22,United Kingdom,06-May-2020,Angel,0.32,
Mura Technology,2017,14.91,United Kingdom,26-Mar-2021,Early Stage VC,11.57,
Planet Ark Power,2014,15.66,United Kingdom,25-May-2021,Later Stage VC,5,
Pluvo,2018,0.27,United Kingdom,29-JUI-2020,Angel,0.27,
Porotech,2018,1.52,United Kingdom,13-May-2020,Seed Round,1.52,
RFC Power,2017,,United Kingdom,21-Jan-2020,Seed Round,,
Ripple,2017,1.25,United Kingdom,22-Mar-2021,Early Stage VC,1.1,
Solar for Schools,2014,0.54,United Kingdom,01-Jan-2021,Later Stage VC,,
Zeigo,2018,0.24,United Kingdom,17-Sep-2020,Accelerator/Incubator,,
Desolenator,2012,1.27,United Kingdom,09-0ct-2020,Accelerator/Incubator,,
First Light Fusion,2011,44.8,United Kingdom,09-0ct-2020,Later Stage VC,19,
Minimum,2020,,United Kingdom,21-Dec-2020,Seed Round,,
Protium,2019,1.46,United Kingdom,21-Jan-2021,Early Stage VC,1.21,
WeVee,2019,,United Kingdom,01-Mar-2020,Early Stage VC,,
AirEx Technologies,2016,0.62,United Kingdom,19-Feb-2020,Equity Crowdfunding,0.53,
Carbon Clean,2009,22.24,United Kingdom,02-JUI-2020,Later Stage VC,18.13,
HiiROC,2019,1.7,United Kingdom,31-Mar-2021,Early Stage VC,,
Odqa,2017,1.86,United Kingdom,02-Mar-2020,Early Stage VC,1.08,
Recycling Technologies,2011,23.55,United Kingdom,09-Mar-2020,Later Stage VC,9.38,
Celtic Renewables,2011,25.6,United Kingdom,30-Dec-2020,Later Stage VC,8.96,
Elmtronics,2013,1.7,United Kingdom,25-NOV-2020,Later Stage VC,1.5,7.8
Pangaia,2018,2.66,United Kingdom,01-Sep-2020,Seed Round,2.66,
Trojan Energy,2016,1.07,United Kingdom,17-Jun-2020,Seed Round,1,
Antaco,2011,6.61,United Kingdom,02-Mar-2020,Equity Crowdfunding,0.58,
Oxford PV,2010,133.26,United Kingdom,16-NOV-2020,Grant,7.94,
Tokamak Energy,2009,123.16,United Kingdom,02-Sep-2020,Grant,10.65,
Cambridge Photon Technology,2010,7.57,United Kingdom,14-Jan-2021,Grant,0.72,
Clean Power Hydrogen,2012,5.64,United Kingdom,25-NOV-2020,Later Stage VC,3,
Dendra Systems,2014,12.01,United Kingdom,Expected      31-Dec-2022,Later Stage VC,,
Liberty Charge,2019,,United Kingdom,20-May-2020,Joint Venture,,
PowerVault,2012,5.74,United Kingdom,01-May-2020,Later Stage VC,2.68,
Utonomy,2015,4.11,United Kingdom,30-Jan-2020,Later Stage VC,,
Sunswap,2020,0.15,United Kingdom,12-Mar-2021,Equity Crowdfunding,0.5,
EHAB,2015,0.34,United Kingdom,03-Dec-2020,Early Stage VC,0.17,
Bower Collective,2019,0.6,United Kingdom,10-Aug-2020,Seed Round,0.35,
Project Blu,2017,0.15,United Kingdom,26-NOV-2020,Early Stage VC,,
The Cheeky Panda,2016,1.1,United Kingdom,01-Aug-2020,Early Stage VC,,6
Abundance Investment,2009,9.58,United Kingdom,30-Sep-2020,Equity Crowdfunding,0.54,
Clim8 Invest,2019,8.41,United Kingdom,02-Jun-2021,Early Stage VC,1.98,
Yayzy,2019,0.12,United Kingdom,,Early Stage VC,,
Deep Branch,2018,6.85,United Kingdom,16-Mar-2021,Early Stage VC,6.85,0
Purezza,2015,2.53,United Kingdom,06-NOV-2020,Later Stage VC,2.4,
Cyanetics,2015,,United Kingdom,01-Apr-2020,Grant,0.34,
Upside Energy,2013,6.07,United Kingdom,03-NOV-2020,Merger/Acqui...,,0.96
Kiwi Power,2009,,United Kingdom,31-Aug-2020,Later Stage VC,,
Mixergy (Household Appliances),2014,6.73,United Kingdom,13-Jan-2020,Later Stage VC,3.6,
Teysha Technologies,2017,1.2,United Kingdom,23-JUI-2020,Equity Crowdfunding,1.86,
WASE,2017,0.2,United Kingdom,01-Nov-2020,Grant,0.1,
Ambion (Household Appliances),2012,4.44,United Kingdom,20-Aug-2020,Later Stage VC,3.17,
Mocean Energy,2013,0.67,United Kingdom,18-NOV-2020,Seed Round,0.61,
EMSOL,2017,1.29,United Kingdom,26-Feb-2021,Early Stage VC,0.27,
Minibems,2016,1.67,United Kingdom,03-Sep-2020,Early Stage VC,,
SteamaCo,2012,7.73,United Kingdom,09-0ct-2020,Later Stage VC,0.52,
StormHarvester,2015,2.36,United Kingdom,22-JUI-2020,Later Stage VC,1.82,
Naturbeads,2018,0.42,United Kingdom,29-Oct-2020,Accelerator/Incubator,0.05,
Molendotech,2017,1.15,United Kingdom,01-May-2020,Early Stage VC,0.43,
Phycobloom,2019,,United Kingdom,21-Feb-2021,Accelerator/Incubator,,
Almond Impact,2018,1.89,United Kingdom,03-NOV-2020,Early Stage VC,0.69,
Bambooth,2018,,United Kingdom,10-Nov-2020,Seed Round,,
Bennamann,2011,2.7,United Kingdom,26-Mar-2021,Corporate,,
BetterPoints,2010,2.22,United Kingdom,30-Sep-2020,Later Stage VC,0.8,
Bramble Energy,2015,5.88,United Kingdom,03-Aug-2020,Later Stage VC,5,
CarbonChain,2017,0.11,United Kingdom,,Early Stage VC,,
CoIorifix,2016,6.75,United Kingdom,Expected      31 -Dec-2021,Later Stage VC,,
Connected Energy (Other Energy),2017,0.79,United Kingdom,06-JUI-2020,Seed Round,0.47,
ev.energy,2018,1,United Kingdom,15-Jan-2021,Seed Round,,
HydroSurv,2012,0.1,United Kingdom,07-0ct-2020,Accelerator/Incubator,,
Industrial Phycology,2012,3.14,United Kingdom,02-Jun-2020,Later Stage VC,0.59,
Onto,2018,0.25,United Kingdom,01-Jun-2020,Early Stage VC,,
Heliex Power,2010,27.41,United Kingdom,12-Jun-2020,Later Stage VC,0.75,
Safe Solvents Europe,2015,2.91,United Kingdom,30-Jul-2020,Seed Round,0.8,
Spintex Engineering,2018,0.27,United Kingdom,16-Jun-2020,Seed Round,0.17,
VOID Technologies,2014,12.86,United Kingdom,18-May-2020,Later Stage VC,7.53,
Waste Knot Energy,2019,,United Kingdom,17-Aug-2020,Early Stage VC,,
Andersen (Alternative Energy Equip...,2015,2.73,United Kingdom,01-Jul-2020,Early Stage VC,1,
Britishvolt,2019,23.62,United Kingdom,,Later Stage VC,,
Transcend Packaging,2017,12,United Kingdom,23-Jun-2020,Early Stage VC,10.16,
Mobile Power,2013,4.81,United Kingdom,10-Dec-2020,Later Stage VC,2,
Graphene Composites,2016,1.13,United Kingdom,24-Feb-2021,Later Stage VC,,
Anaphite,2016,2.38,United Kingdom,22-Apr-2021,Early Stage VC,1.19,
EC-OG,2013,4.13,United Kingdom,17-Apr-2020,Later Stage VC,1.63,
Nova Pangaea Technologies,2014,4,United Kingdom,11-Nov-2020,Early Stage VC,0.2,
Clir,2017,25.34,United Kingdom,01-Jun-2021,Early Stage VC,15.81,
Aceleron,2016,4.55,United Kingdom,20-Jul-2020,Early Stage VC,2,
Changeover Technologies,2009,5.67,United Kingdom,Expected 30-Jun-2021,Later Stage VC,10,
Econic (Other Chemicals and Gases),2011,21.44,United Kingdom,09-NOV-2020,Later Stage VC,3.2,
Enertechnos,2013,6.27,United Kingdom,18-May-2020,Later Stage VC,5,
GridDuck,2015,0.36,United Kingdom,10-Dec-2020,Seed Round,0.36,
Notpla,2013,4.5,United Kingdom,21-Apr-2020,Later Stage VC,4,
Reactive Technologies,2010,20.56,United Kingdom,,Later Stage VC,,
OLIO,2015,11.19,United Kingdom,31-Jan-2020,Early Stage VC,4.92,
Cornish Lithium,2016,7.46,United Kingdom,15-0ct-2020,Equity Crowdfunding,5.2,0
Buzzbike,2013,2.34,United Kingdom,28-JUI-2020,Later Stage VC,1.7,
Preservica,2012,13.48,United Kingdom,01-Oct-2020,Later Stage VC,3,
Ably Real-time,2009,6.69,United Kingdom,06-Apr-2020,Early Stage VC,5.17,
AeroCloud Systems,2015,2.95,United Kingdom,05-May-2021,Later Stage VC,1.23,
Ori Industries,2018,9.1,United Kingdom,31-Mar-2021,Early Stage VC,2.8,
BookingLive,2014,3.22,United Kingdom,15-Jan-2020,Later Stage VC,1.32,
Stacker(web product),2018,2.42,United Kingdom,26-Jan-2021,Seed Round,1.25,0.78
Talent Clouds Solutions,2015,1.5,United Kingdom,16-Mar-2020,Seed Round,1.5,
Crypta Labs,2014,3.03,United Kingdom,23-Jan-2020,Grant,,
UBIO,2013,5.14,United Kingdom,24-Sep-2020,Later Stage VC,1.11,
Konsentus,2018,2.56,United Kingdom,16-Sep-2020,Seed Round,,
CatchApp,2015,1.41,United Kingdom,14-0ct-2020,Early Stage VC,0.68,
Pusher,2010,9.07,United Kingdom,16-Dec-2020,Merger/Acqui...,26.26,
Budibase,2019,0.3,United Kingdom,28-Jan-2020,Seed Round,0.3,
Codeherent,2016,0.74,United Kingdom,26-Mar-2020,Seed Round,0.4,
Cloud Maker,2017,2.2,United Kingdom,01-Jan-2020,Seed Round,1.2,
Northflank,2019,2.32,United Kingdom,07-JUI-2020,Seed Round,2.07,
Clixifix,2012,0.87,United Kingdom,08-Jun-2020,Later Stage VC,0.59,
Converge Sensors,2014,9.1,United Kingdom,01-Sep-2020,Later Stage VC,3.67,
Basestone,2012,1.92,United Kingdom,26-Mar-2021,Bankruptcy:...,,
BIMsense,2016,0.25,United Kingdom,09-0ct-2020,Seed Round,0.25,
Nodes & Links,2018,1.51,United Kingdom,02-Jun-2020,"Accelerator/!,..",,
Planet Smart City,2015,86.94,United Kingdom,14-Jan-2020,Early Stage VC,20.57,
Sessions Market,2019,2.76,United Kingdom,09-Dec-2020,Early Stage VC,1.08,
Applied Blockchain,2015,3.75,United Kingdom,20-Apr-2020,Early Stage VC,2.25,
Argent,2017,12.31,United Kingdom,06-Jan-2020,Early Stage VC,9.12,
Autolomous,2019,1,United Kingdom,24-Jul-2020,Seed Round,1,
Avantgarde Finance,2018,,United Kingdom,27-Jul-2020,Early Stage VC,,
Baanx,2018,14.7,United Kingdom,,Early Stage VC,1,0.94
Billon,2015,10.99,United Kingdom,25-Aug-2020,Later Stage VC,2,
Boson Protocol,2019,7.18,United Kingdom,11-Mar-2021,Early Stage VC,6.87,
Cashaa,2016,3.81,United Kingdom,30-Aug-2020,Seed Round,3.81,
Celsius Network,2017,40.21,United Kingdom,27-Jul-2020,Early Stage VC,18.51,
Cobalt (Financial Software),2015,12.38,United Kingdom,23-Jul-2020,Early Stage VC,2.73,
CoinBurp,2018,3.39,United Kingdom,18-May-2021,Seed Round,3.35,
Coincover,2018,1.81,United Kingdom,13-Mar-2020,Early Stage VC,,
Coinfirm,2016,7.65,United Kingdom,07-Jul-2020,Early Stage VC,1.8,
Copper,2018,42.72,United Kingdom,24-May-2021,Early Stage VC,35.7,
Cryptograph,2018,0.74,United Kingdom,,Early Stage VC,,
Equilibrium (Financial Software),2018,1.81,United Kingdom,08-Apr-2021,Early Stage VC,1.81,
Euler XYZ,2020,0.6,United Kingdom,16-Dec-2020,Seed Round,0.6,
Everledger,2015,30.88,United Kingdom,15-Jul-2020,Early Stage VC,5.61,
Fan360,2014,0.05,United Kingdom,01-Jan-2020,Later Stage VC,,
FundAdminChain,2019,2.18,United Kingdom,12-Jan-2021,Accelerator/Incubator,,
Genomes.io,2013,0.11,United Kingdom,01-Apr-2020,Equity Crowdfunding,0.17,
Globatalent,2017,0.22,United Kingdom,11-May-2021,Early Stage VC,0.2,
iov42,2016,16.81,United Kingdom,31-Dec-2020,Later Stage VC,,
Measure (Media and Information ...,2018,2.7,United Kingdom,07-Jan-2020,Early Stage VC,2,
Nebeus,2014,2.49,United Kingdom,,Later Stage VC,,
Nuggets,2016,2.29,United Kingdom,15-Feb-2020,Early Stage VC,2.04,
Ocyan,2019,0.21,United Kingdom,15-Jan-2020,Equity Crowdfunding,0.2,
Parfin,2018,1.33,United Kingdom,15-Dec-2020,Seed Round,1.33,
Provenance,2013,1.96,United Kingdom,30-Jun-2020,Grant,0.9,
QPQ,2017,1.88,United Kingdom,,Early Stage VC,,0.05
Quant Network,2015,1.6,United Kingdom,01-Mar-2021,Later Stage VC,,3.04
Ramp [Financial Software],2019,1.54,United Kingdom,20-Mar-2020,Early Stage VC,0.67,
ResonanceX,2017,0.71,United Kingdom,07-Jan-2020,Accelerator/Incubator,,
Revolut,2014,780.3,United Kingdom,,Later Stage VC,,
Seaquake,2016,0.02,United Kingdom,15-Mar-2020,Seed Round,,
Siccar,2016,2.26,United Kingdom,14-0ct-2020,Early Stage VC,1.47,
Sovryn,2020,8.09,United Kingdom,13-Apr-2021,Early Stage VC,6.52,
Travala,2017,,United Kingdom,,Early Stage VC,,3.54
Uphold,2013,48.75,United Kingdom,01-Oct-2020,Later Stage VC,,
UX Network,2020,,United Kingdom,21-Jul-2020,Early Stage VC,,
Vaultoro,2015,1.23,United Kingdom,01-Feb-2020,Early Stage VC,0.67,
Veratrak,2017,1.7,United Kingdom,13-NOV-2020,Seed Round,0.41,
Vertex (Financial Software),2018,0.84,United Kingdom,01-Sep-2020,Early Stage VC,0.84,
Wintermute,2017,19.56,United Kingdom,20-Jan-2021,Early Stage VC,15.2,
Wirex,2014,2.49,United Kingdom,16-0ct-2020,Equity Crowdfunding,3.7,28.08
World Equity Expo,2020,0.68,United Kingdom,06-0ct-2020,Early Stage VC,0.68,
World Wide Generation,2016,4.51,United Kingdom,03-Dec-2020,Early Stage VC,4.08,
YOP (Financial Software),2020,,United Kingdom,02-Dec-2020,Seed Round,,
Ziglu,2014,4.95,United Kingdom,24-Mar-2021,Equity Crowdfunding,6.8,
Zumo (Financial Software),2017,3.24,United Kingdom,01-Jan-2021,Early Stage VC,1.32,
Udo (Financial Software),2020,1.5,United Kingdom,15-Dec-2020,Early Stage VC,1.5,
42Crunch,2015,15.19,United Kingdom,19-May-2021,Later Stage VC,12.17,
Cyan Forensics,2016,7.96,United Kingdom,29-Mar-2021,Later Stage VC,5,
Darkbeam,2017,1.09,United Kingdom,04-Mar-2020,Angel,0.4,
Enclave Networks,2012,0.77,United Kingdom,Expected      30-NOV-2021,Later Stage VC,5,
iosec,2020,0.18,United Kingdom,13-Mar-2020,Early Stage VC,0.18,
KryptoKloud,2016,0.5,United Kingdom,15-Sep-2020,Seed Round,0.5,
PrivacySawy,2020,0.03,United Kingdom,01-Dec-2020,Early Stage VC,0.03,
RapidSpike,2015,1.01,United Kingdom,17-Sep-2020,Early Stage VC,1.01,
soc.os,2019,2,United Kingdom,07-Jul-2020,Early Stage VC,2,
Tapmydata,2018,0.2,United Kingdom,19-Sep-2020,Early Stage VC,0.2,
Think Cyber Security,2016,0.82,United Kingdom,01-Jan-2020,Accelerator/Incubator,0.03,
Bewica,2017,0.48,United Kingdom,14-0ct-2020,Early Stage VC,0.34,
Ipushpull,2013,1.25,United Kingdom,21-Apr-2020,Accelerator/Incubator,,
Storm2,2019,3.29,United Kingdom,28-Aug-2020,Early Stage VC,2.29,
CybSafe,2015,11.04,United Kingdom,28-Jan-2021,Later Stage VC,5.57,
Awen Collective,2017,0.96,United Kingdom,04-Mar-2021,Early Stage VC,,
Crypto Quantique,2016,9.48,United Kingdom,19-May-2021,Early Stage VC,,
KETS Quantum Security,2016,4.67,United Kingdom,28-Feb-2020,Early Stage VC,0.22,
PQShield,2018,6.48,United Kingdom,08-Jul-2020,Seed Round,5.5,
Amiqus (Business/Productivity Soft...,2015,2.87,United Kingdom,21-Sep-2020,Later Stage VC,0.7,
Traced,2019,0.45,United Kingdom,02-NOV-2020,Early Stage VC,0.45,
SaltDNA,2013,2.96,United Kingdom,26-Jun-2020,Accelerator/Incubator,,
tru.lD,2020,3,United Kingdom,01-Apr-2020,Seed Round,3,
418sec,2018,0.61,United Kingdom,03-Jul-2020,Seed Round,0.5,
ARX Alliance,2018,1.11,United Kingdom,07-Sep-2020,Early Stage VC,0.64,
Cufflink,2018,0.3,United Kingdom,05-Feb-2021,Seed Round,0.3,
eXate,2015,2.83,United Kingdom,03-Sep-2020,Seed Round,2.31,
OutThink,2015,1.27,United Kingdom,11-Feb-2020,Seed Round,1.27,
Seedata.io,2020,0.76,United Kingdom,Expected        31-Jul-2021,Early Stage VC,,
CyberOwl,2016,4.4,United Kingdom,03-Feb-2020,Early Stage VC,1.8,
Intruder,2015,0.87,United Kingdom,15-Sep-2020,Later Stage VC,0.54,
Excession,2016,6.07,United Kingdom,27-Mar-2020,Early Stage VC,5.15,
Semafone,2009,9.88,United Kingdom,28-Apr-2020,Later Stage VC,0.04,17.03
Torsion Information Security,2014,0.98,United Kingdom,OS-Nov-2020,Grant,0.1,
TriCIS,2017,2.32,United Kingdom,20-Mar-2020,Early Stage VC,1.03,
Delivery of Care,2019,0.15,United Kingdom,03-Jan-2020,Early Stage VC,0.15,
MyHelp,2020,,United Kingdom,22-Jul-2020,Seed Round,,
Practio,2015,0.14,United Kingdom,11-Aug-2020,Early Stage VC,7.42,
Vatic Health,2019,,United Kingdom,02-Jun-2020,Accelerator/Incubator,,
